id,type,contents,client_id
1,Hashtage,AmberHeardisAGoldDigger,1
2,Hashtage,AmberHeardIsALiar,1
3,Hashtage,AmberHeardForPrison,1
4,Hashtage,JusticeForJohnnyDepp,1
5,Hashtage,AmberHeardIsAFraud,1
6,Hashtage,AmberHeardDidNotDonate,1
7,Hashtage,JohnnyDeppIsInnocent,1
8,Hashtage,WeStandByJohnnyDepp,1
9,Hashtage,AmberHeardIsTheRealAbuser,1
10,Hashtage,AmberHeardIsAnAbuser,1
11,Hashtage,JusticeForAmberHeard,1
12,Hashtage,Wearewithyouamberheard,1
13,Hashtage,IstandwithAmberHeard,1
14,Hashtage,AmberHeardIsMera,1
15,Hashtage,AmberHeardIsMyMera,1
16,Hashtage,AmberIsMyMera,1
17,Hashtage,WeStandWithAmberHeard,1
18,Hashtage,JohnnyDeppIsAnAbuser,1
19,Hashtage,JohnnyDeppIsAWifeBeater,1
20,Hashtage,BoycottJohnnyDepp,1
21,Hashtage,JohnnyDeppIsGuilty,1
22,Hashtage,JohnnyDeppLied,1
23,Hashtage,JohnnyDeppIsARapist,1
24,Hashtage,AmberHeardisAGoldDigger,1
25,Hashtage,AmberHeardIsALiar,1
26,Hashtage,AmberHeardForPrison,1
27,Hashtage,JusticeForJohnnyDepp,1
28,Hashtage,AmberHeardIsAFraud,1
29,Hashtage,AmberHeardDidNotDonate,1
30,Hashtage,JohnnyDeppIsInnocent,1
31,Hashtage,WeStandByJohnnyDepp,1
32,Hashtage,AmberHeardIsTheRealAbuser,1
33,Hashtage,AmberHeardIsAnAbuser,1
34,Query,amber heard,1
35,Query,amber%20(from%3Aredlikejungle),1
36,Query,%23amberheardisinnocen,1
37,Url,https://twitter.com/aquamanmovie/with_replies,1
38,Url,https://twitter.com/colonelkurtz99/with_replies,1
39,Url,https://twitter.com/ThatBrianFella/with_replies,1
40,Url,https://twitter.com/LauraBockov/with_replies,1
41,Url,https://twitter.com/LillyJane916/with_replies,1
42,Url,https://twitter.com/MyGrindelwald/with_replies,1
43,Url,https://twitter.com/TheNamesQ/with_replies,1
44,Url,https://twitter.com/FemCondition/with_replies,1
45,Url,https://twitter.com/silence_exile/with_replies,1
46,Url,https://twitter.com/adam_waldman/with_replies,1
47,Url,ttps://twitter.com/amberheardsourc/with_replies,1
48,Url,https://twitter.com/Ego_death18/with_replies,1
49,Url,https://twitter.com/IvanaE/with_replies,1
50,Url,ttps://twitter.com/shesaheathen,1
51,Url,https://twitter.com/malibudietcoke,1
52,Url,https://twitter.com/Vicky73914472,1
53,Url,https://twitter.com/stirgussa,1
54,Url,https://twitter.com/v_e_n_u_s_1,1
55,Url,https://twitter.com/geekthedog,1
