" ",Count
"https://t.co/wIor3oTubv",572
"https://t.co/3m7bqXgJVe",549
"https://t.co/ELazu19brK",437
"https://t.co/i1op1F2v9z",367
"https://t.co/KDU546fyfI",336
"https://t.co/GA65J0OcuZ",296
"https://t.co/cYtmoXJ4yr",275
"https://t.co/KuV8F8I77M",266
"https://t.co/ExMJYWXWZD",215
"https://t.co/RnNbphsHbR",188
"https://t.co/CpASJOqryb",179
"https://t.co/IsNBNz7D3z",178
"https://t.co/428iGxxqw3",135
"https://t.co/7cO9m29GvM",134
"https://t.co/N4oYifJxoZ",134
"https://t.co/IW1ZhVfLy2",128
"https://t.co/uYh2nMxbz6",126
"https://t.co/I8I23dPZ7Q",112
"https://t.co/mg45ojxsvb",107
"https://t.co/pPLywW9eud",107
"https://t.co/Q0u37gG3wk",92
"https://t.co/CpASJO8Q9B",91
"https://t.co/QMWMXNP6PB",91
"https://t.co/6f54rkqZxd",89
"https://t.co/IW1ZhUYa9s",89
